bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,c,sg,48,8.309448,9,0.147767,57.9813,995,9,6,12,0,5,0.370034,0.943991,0.098401,5.06512,0.737595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,semis,51,6.008267,11,0.146194,31.7925,2029,7.224999,6,57.599998,35,2.65,0.540885,2.10218,0.258955,5.305749,0.628953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,semis,51,6.008267,11,0.146194,31.7925,2029,7.224999,6,57.599998,35,2.65,0.540885,2.10218,0.258955,5.305749,0.628953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,27,25.381889,35,0.059857,19.2845,792,1.485,5.7575,60,1,6.349999,1.28091,1.31576,0.166545,9.710359,0.721758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,c,semis,46,5.987008,10,0.139588,31.9049,127,7.224999,6,57.599998,35,2.65,0.540885,2.10218,0.258955,5.305749,0.628953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,27,24.718896,15,0.120264,19.2845,792,5.195,6,58.819999,0,6.92,1.30725,1.308189,0.165753,9.76599,0.702549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,c,sg,54,14.281102,11,0.110371,48.114201,2024,31.299999,6,20,0,7.239999,0.580874,1.154739,0.130654,5.540679,0.685497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sg,51,9.253149,11,0.232136,48.114201,2024,5,6,60,29,2,0.698729,1.500659,0.148269,5.6448,0.810842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,c,sdst,63,14.127558,111,0.050533,31.408501,1748,17.125,6,46.299999,0,5.599999,0.641636,1.26856,0.228147,6.43118,1.315469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,c,sdst,64,14.180315,119,0.056754,31.408501,1748,17.125,6,46.299999,0,5.599999,0.641636,1.26856,0.228147,6.43118,1.315469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
