"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"DeadDist"	"DeadDistInd"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"BSADead25"	"BSADeadInd25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"BSADead5"	"BSADeadInd5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"BSADead1"	"BSADeadInd1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"	"BSADead15"	"BSADeadInd15"	"TreesPClus"	"BAPClus"	"NeighBSA9125"	"NeighBSA915"	"NeighBSA911"	"NeighBSA9115"
4043	17020	0	2216	766153.0398	4334329.649	3	0	9	9.706244706	1	0.822916667	14.04960157	154.3691706	99.04464	1.761642	1	0.845714286	14.17264638	286.2408659	185.141484	2.64519	1	0.847583643	14.65392925	469.7237392	308.020104	2.64519	1	0.882198953	14.68332387	667.7006331	440.9559	3.086964	1	3	1.494396	100.806282	187.786674	310.665294	444.042864
4048	17025	0	2211	766134.0029	4334328.614	3	0	17	13.79837849	1	0.851851852	14.44973605	135.4396517	88.823844	0.976266	1	0.87195122	14.29707138	273.8929671	178.37307	1.761642	1	0.8625	14.42750381	544.2976839	356.47344	2.64519	1	0.88671024	14.64589405	799.1038783	528.79257	3.086964	1	2	0.70902	89.80011	180.134712	359.11863	531.879534
4050	17027	0	2211	766122.3502	4334334.578	3	0	9	19.95020341	1	0.921052632	14.64402159	134.4972425	88.889292	0	0	0.886363636	13.81320375	281.3382644	181.0728	0.70902	1	0.902366864	13.83894926	539.2257434	347.82885	2.203416	1	0.906382979	14.10085287	773.7317544	503.180586	2.64519	1	2	0.70902	88.889292	181.78182	350.032266	505.825776
4051	17028	0	2205	766115.3339	4334340.97	3	0	17	26.16801372	1	0.910891089	13.18902934	152.4124162	95.821326	0	0	0.940860215	13.46401017	288.3590766	183.897972	0	0	0.927170868	13.64860825	562.4177	360.678474	0.70902	1	0.914285714	13.68491357	769.675674	494.361468	2.39976	1	2	0.70902	95.821326	183.897972	361.387494	496.761228
4052	17029	0	2211	766120.1853	4334342.243	3	0	16	21.40274726	1	0.933962264	12.83898838	153.4880536	95.297742	0	0	0.917098446	13.52445913	298.2460518	190.540944	0.70902	1	0.92689295	13.58264064	597.9047599	381.349134	1.41804	1	0.920318725	13.74288672	795.4658398	510.919812	2.39976	1	2	0.70902	95.297742	191.249964	382.767174	513.319572
4053	17030	0	2211	766127.3137	4334339.436	3	0	12	14.1977869	1	0.898989899	13.88167969	157.8816835	101.946168	0.70902	1	0.907216495	13.60855276	303.0366622	193.927878	0.70902	1	0.916666667	13.60878062	580.5447441	370.697472	2.203416	1	0.90945674	13.8417739	797.0071318	513.074142	2.64519	1	2	0.70902	102.655188	194.636898	372.900888	515.719332
4054	17031	0	2211	766129.7121	4334344.419	3	0	16	12.51006167	1	0.904761905	13.03058389	152.6387942	95.385006	0.70902	1	0.913242009	13.31474399	330.9353259	208.850022	1.150794	1	0.923684211	13.45193914	583.808901	370.097532	2.203416	1	0.921686747	13.78714495	794.0903834	510.068988	2.64519	1	2	0.70902	96.094026	210.000816	372.300948	512.714178
4055	17032	0	2211	766129.0261	4334346.436	3	0	23	13.93571229	1	0.927272727	12.61098874	152.1725031	93.677904	0.70902	1	0.915178571	13.19467876	333.4862056	209.848104	1.150794	1	0.922879177	13.40252231	593.8907623	376.200558	2.203416	1	0.930894309	13.70801411	780.4875793	499.106448	2.203416	1	2	0.70902	94.386924	210.998898	378.403974	501.309864
4056	17033	0	2205	766092.6183	4334353.305	3	0	20	12.11212751	1	0.855072464	12.97225546	99.09525546	62.410122	0.196344	1	0.935294118	12.6652392	237.4517245	147.852486	0.196344	1	0.934911243	13.32975966	514.5583581	326.580066	0.196344	1	0.942857143	13.80903426	732.3327764	472.169142	0.196344	1	1	0.196344	62.606466	148.04883	326.77641	472.365486
4057	17034	0	2212	766093.3019	4334357.52	3	0	12	12.33210196	1	0.88	13.01921657	108.0353488	68.409522	0.196344	1	0.931216931	12.85454634	270.0112371	169.42851	0.196344	1	0.938953488	13.29394084	521.5438685	330.610572	0.196344	1	0.946351931	13.82035276	751.6833716	484.402464	0.196344	1	1	0.196344	68.605866	169.624854	330.806916	484.598808
