"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"
109	13159	0	2112	766204.845	4333816.283	1	1	26	1	22.4053565	28.0604920656492	21.903264	0.8	20.28464115	43.3413592537449	33.662088	0.823529412	19.51620744	93.5048251209775	70.6293	0.818181818	18.17403242	106.710153025824	79.262982
110	13160	0	2112	766192.3119	4333815.987	1	1	6	0.9	19.45507646	26.9637495465684	20.64339	0.952380952	19.14605517	56.2224902934613	41.984892	0.903225806	18.1000802	75.5183805994996	55.390824	0.872340426	17.91706663	111.372400215862	82.289952
111	13161	0	2112	766200.6344	4333826.318	1	0	27	0.95	19.76233792	56.498839820239	42.601194	0.862068966	18.63533907	74.5137598404716	54.927234	0.85	18.56407822	100.937051714079	75.18339	0.907894737	17.05795076	166.74073270904	120.609756
112	13162	0	2112	766193.1389	4333822.147	1	1	26	0.941176471	17.60681686	39.7149536867316	28.74258	0.961538462	19.02023214	69.4100070287102	51.300324	0.861111111	18.22620214	88.5389932671071	65.224386	0.907692308	17.22341876	145.553055596999	105.164028
113	13163	0	2112	766187.4511	4333816.46	1	1	7	0.875	17.23368794	17.3914831676172	12.958704	0.952380952	18.20125584	52.2988348601949	37.943478	0.9375	17.40420208	72.7054404550166	52.865622	0.9	17.48084666	113.857085808184	83.331666
114	13164	0	2112	766180.791	4333815.459	1	1	11	0.833333333	12.72137309	7.83243428923034	5.295834	0.944444444	15.99131709	35.6426352846614	25.104762	0.970588235	16.94541409	73.5752238794647	53.247402	0.9375	17.17617051	107.297522693319	77.234094
115	13165	0	2112	766185.0744	4333819.026	1	1	8	0.9	15.94365077	19.6014881681191	13.864068	0.956521739	18.76745564	59.7971139023325	44.182854	0.96969697	17.71320343	77.2054161958204	56.470716	0.916666667	16.88589155	130.645478222408	93.307032
117	13167	0	2112	766192.1076	4333841.172	1	0	17	0.944444444	18.64582169	46.978179997777	34.131132	0.970588235	17.58090542	80.2701542002147	57.316086	0.917808219	17.39666162	168.757780215903	120.495222	0.935779817	16.75675956	235.235869620754	166.925124
118	13168	0	2112	766198.1709	4333839.934	1	0	35	0.944444444	18.81931632	47.6992289751961	34.76925	0.882352941	18.19583016	84.6218428699112	61.395678	0.9125	17.47533977	184.936380775226	133.246674	0.929824561	16.97237177	250.893571962766	179.103906
119	13169	0	2112	766198.0125	4333842.625	1	0	22	1	19.15724406	49.4967346955618	36.029124	0.891891892	18.33325143	93.672744551555	67.825944	0.931034483	17.15882535	195.162622381056	139.70421	0.93495935	16.90961145	269.58117858922	191.81718
120	13170	0	2109	766148.0607	4333839.891	1	0	23	1	12.55143265	17.5011435963015	11.169792	1	13.21955963	53.7411340784703	35.265564	0.983050847	14.4808465	99.5799606806199	67.476888	0.98	14.77125587	176.514998782196	119.000826
121	13171	0	2110	766162.0842	4333830.709	1	0	5	1	9.921917377	7.97213182201832	4.832244	1	14.79509165	33.1746186346028	22.683186	0.984126984	14.5405836	108.553900785932	72.64728	0.978494624	15.55704038	177.748395013581	122.758632
122	13172	0	2110	766159.7926	4333830.654	1	0	6	1	9.921917377	7.97213182201832	4.832244	1	14.37651594	31.4264767274199	21.417858	0.985294118	14.23334941	112.959058383565	75.134304	0.978723404	15.4909033	178.31252911627	123.025878
123	13173	0	2110	766157.5557	4333829.985	1	0	8	1	9.921917377	7.97213182201832	4.832244	1	10.46973661	12.9561723634831	7.77195	0.984375	13.7539767	100.590311750792	66.031578	0.977777778	15.36048321	167.937567989334	115.81569
124	13174	0	2110	766158.1502	4333820.744	1	1	7	1	6.680194608	4.16521685075455	1.947078	1	10.08044566	12.204446454844	7.204734	0.973684211	13.8602043	59.91680561213	39.8142	0.98630137	14.14600965	119.510170722087	79.672032
125	13175	0	2110	766151.9221	4333821.387	1	1	7	1	7.810249676	7.23223815608194	3.659634	1	9.660917831	13.1786112209536	7.6356	1	11.86796043	40.7895762325281	25.350192	0.985507246	13.57160292	105.44771547065	69.314886
126	13176	0	2109	766149.3517	4333827.155	1	0	7	1	10	11.0391531273457	6.5448	1	11.46080276	23.3461419376256	14.327658	1	13.56884801	66.4649214814006	44.182854	0.974358974	13.98396518	125.233665478704	83.189862
127	13177	0	2109	766149.0837	4333818.883	1	1	6	1	7.810249676	7.23223815608194	3.659634	1	9.660917831	13.1786112209536	7.6356	1	11.17714505	31.6285470129902	19.078092	0.981818182	13.1640005	79.4281108345735	51.982074
128	13178	0	2109	766146.247	4333823.227	1	1	7	1	10	11.0391531273457	6.5448	1	10.35679284	18.8276518513452	11.115252	1	10.91242783	40.4126990379391	24.030324	0.983870968	13.14006432	89.4497663293306	58.38507
129	13179	0	2107	766132.98	4333809.259	1	1	6	1	8.65303415	6.21110015796331	3.266946	1	9.13600934	12.5412144295337	6.828408	0.962962963	9.88264472	25.0307280183782	14.382198	0.955555556	10.49656028	45.8185535698089	27.040932
130	13180	0	2109	766137.2644	4333824.012	1	0	8	1	9.240379613	11.0713897575958	6.05394	1	11.35442984	30.1345179954406	18.281808	1	10.42556031	39.329865461577	23.119506	0.981818182	12.29634092	70.9603980256757	45.355464
131	13182	0	2109	766136.8941	4333824.64	1	0	9	1	9.240379613	11.0713897575958	6.05394	1	11.22332228	30.6986520981297	18.549054	1	10.56801433	42.3858791206699	24.973866	0.982758621	12.17402549	73.7408263727698	46.882584
132	13183	0	2109	766136.6296	4333824.837	1	0	13	1	9.240379613	11.0713897575958	6.05394	1	11.22332228	30.6986520981297	18.549054	1	10.56801433	42.3858791206699	24.973866	0.982758621	12.17402549	73.7408263727698	46.882584
133	13184	0	2109	766132.2647	4333838.568	1	0	11	1	12.76253709	23.9858996035242	15.102126	1	11.55588428	31.1035505220492	18.936288	0.981481481	12.20427976	68.8299177421216	43.866522	0.987804878	15.17419183	148.823405012629	102.976974
134	13186	0	2109	766130.0793	4333839.958	1	0	16	1	11.83215957	20.1789846322604	12.21696	1	11.46902182	30.7274202444667	18.65268	0.98245614	12.64425534	76.9159534393033	49.702302	0.987804878	15.2842977	150.309659718846	104.476824
135	13187	0	2113	766127.6726	4333845.055	1	0	8	1	11.49247245	15.4247209485524	9.364518	1	12.96576689	38.031550580506	24.755706	0.984126984	14.29063407	103.477040016458	70.171164	0.988372093	15.39216049	159.670584726734	111.12525
136	13188	0	2113	766127.503	4333846.655	1	0	12	1	11.52946536	16.7646626393077	10.149894	1	12.96576689	38.031550580506	24.755706	0.984615385	14.69589163	112.191977647918	76.563252	0.988505747	15.39928346	161.796826137151	112.521474
137	13189	0	2113	766127.61	4333848.661	1	0	9	1	10.87360539	18.4682548356047	10.96254	1	14.15854109	45.772931463393	30.613302	0.983870968	15.33128785	115.175754756552	79.481142	0.988636364	15.59975233	167.017044142899	116.79741
138	13190	0	2113	766133.431	4333848.071	1	0	6	1	12.44778568	25.6784841535868	16.056576	0.964285714	14.03057885	45.0581647600755	30.062448	0.984375	15.30624872	117.395405082721	81.777276	0.989690722	15.78822477	188.392324909724	131.872266
139	13191	0	2108	766112.6277	4333821.007	1	0	15	1	9.38083152	6.90543826248917	3.839616	0.956521739	9.108047087	18.9796636003097	10.406232	0.952380952	10.42318843	42.7721650772526	24.886602	0.969230769	11.33748039	75.2918058778285	45.56817
