TreeNum	RecordNum	Response	Elevation	Easting	Northing	ElevCat	IndEdge15M	IndDBHIn	DeadDist	DeadDistInd	PropJP25	NeighQMD25	NeighSDIAlt25	NeighBSA25	BSADead25	BSADeadInd25	PropJP5	NeighQMD5	NeighSDIAlt5	NeighBSA5	BSADead5	BSADeadInd5	PropJP1	NeighQMD1	NeighSDIAlt1	NeighBSA1	BSADead1	BSADeadInd1	PropJP15	NeighQMD15	NeighSDIAlt15	NeighBSA15	BSADead15	BSADeadInd15	TreesPClus	BAPClus	NeighBSA9125	NeighBSA915	NeighBSA911	NeighBSA9115	BSADead25NEW	BSADeadInd25NEW	BSADead5NEW	BSADeadInd5NEW	BSADead1NEW	BSADeadInd1NEW	BSADead15NEW	BSADeadInd15NEW
80	13130	0	2119	766269.3907	4333856.684	1	0	11	55.11243002	0	0.849056604	8.644989824	40.64360157	21.603294	0	0	0.736263736	10.65595845	90.89671484	56.356182	0	0	0.694029851	11.46506699	149.0772764	96.066756	0	0	0.734463277	12.81661175	236.6368188	158.57505	0	0	9	13.378662	21.603294	56.356182	96.066756	158.57505	0	0	0	0	0	0	0	0
81	13131	0	2119	766272.3863	4333854.652	1	0	10	58.62638881	0	0.833333333	8.621678104	41.35130771	21.892356	0	0	0.733333333	10.5483016	89.02633445	54.616356	0	0	0.702290076	11.30392082	142.6224414	91.294506	0	0	0.727810651	12.57239392	218.4882089	145.692702	0	0	9	13.378662	21.892356	54.616356	91.294506	145.692702	0	0	0	0	0	0	0	0
82	13132	0	2119	766272.2457	4333857.768	1	0	5	56.26580358	0	0.87037037	9.756289519	47.26406133	28.03356	0	0	0.738636364	9.964140249	80.20416009	47.651598	0	0	0.705882353	11.80665316	158.310606	103.396932	0	0	0.741573034	12.97815797	243.0131731	163.516374	0	0	9	13.378662	28.03356	47.651598	103.396932	163.516374	0	0	0	0	0	0	0	0
83	13133	0	2113	766236.9711	4333839.762	1	1	27	44.42087224	1	0.793103448	12.9561595	37.84824884	26.550072	0	0	0.711538462	13.73933153	75.92384526	53.536464	0	0	0.693069307	14.16452129	158.5118582	110.519856	0	0	0.639455782	14.63803637	245.3069306	171.790092	0	0	15	24.128496	26.550072	53.536464	110.519856	171.790092	0	0	0	0	0	0	0	0
84	13134	0	2118	766236.4374	4333850.72	1	0	14	38.66639457	1	0.828571429	9.683564869	30.53716906	17.900028	0	0	0.72	13.34516142	106.2082786	72.849078	0	0	0.64	14.05133446	196.0903447	134.60472	0	0	0.644970414	14.74310963	283.5302381	197.974746	2.296134	1	15	24.128496	17.900028	72.849078	134.60472	200.27088	0	0	0	0	0	0	2.296134	1
86	13136	0	2119	766246.436	4333847.929	1	0	5	48.99368365	1	0.853658537	10.57147566	40.4565916	24.990228	0	0	0.766233766	11.48742961	86.45977572	55.418094	0	0	0.664179104	13.41418274	191.5054527	131.506848	0	0	0.658823529	13.68038527	254.6172395	173.524464	0	0	15	24.128496	24.990228	55.418094	131.506848	173.524464	0	0	0	0	0	0	0	0
87	13137	0	2119	766246.4548	4333845.871	1	0	7	49.77788944	1	0.810810811	11.56766229	41.16728628	27.002754	0	0	0.789473684	12.22648118	93.15726198	61.962894	0	0	0.658914729	12.95938797	175.5430596	118.16091	0	0	0.658385093	13.54380975	236.2408419	161.072982	0	0	15	24.128496	27.002754	61.962894	118.16091	161.072982	0	0	0	0	0	0	0	0
88	13138	0	2114	766247.3773	4333842.124	1	0	5	52.18127854	0	0.696969697	13.92947605	49.87338905	34.921962	0	0	0.767123288	12.78644402	95.55849315	65.09349	0	0	0.663865546	12.74672474	157.2484121	105.45309	0	0	0.653846154	13.35487043	223.1806	151.746642	0	0	15	24.128496	34.921962	65.09349	105.45309	151.746642	0	0	0	0	0	0	0	0
90	13140	0	2114	766245.8989	4333833.917	1	1	5	55.08720905	0	0.631578947	15.97366253	35.45938781	26.440992	0	0	0.693877551	14.45612645	78.14970301	55.84896	0	0	0.729166667	12.48499099	121.9947372	81.613656	0	0	0.671875	13.37821223	183.4189136	124.945686	0	0	15	24.128496	26.440992	55.84896	81.613656	124.945686	0	0	0	0	0	0	0	0
93	13143	0	2113	766231.7574	4333830.809	1	1	10	46.46335069	1	0.545454545	18.27815388	25.59671087	20.04345	0	0	0.741935484	14.56132748	49.7280807	35.849142	0	0	0.712121212	16.6114236	133.7364798	99.328248	0	0	0.695652174	15.25179961	204.8146459	145.899954	0	0	15	24.128496	20.04345	35.849142	99.328248	145.899954	0	0	0	0	0	0	0	0
